Id,Label
Mavi,Mavi
Baskın,Baskın
Khontkar,Khontkar
Murat Boz,Murat Boz
Keskin,Keskin
Fatma Turgut,Fatma Turgut
Ozan Bayraşa,Ozan Bayraşa
Monoman,Monoman
Onur Uğur,Onur Uğur
Ali471,Ali471
Vesca,Vesca
Defkhan,Defkhan
Kozmos,Kozmos
Velet,Velet
Blok3,Blok3
Dr. Fuchs,Dr. Fuchs
DEHA INC.,DEHA INC.
Batuflex,Batuflex
Da Poet,Da Poet
DJEZJA,DJEZJA
MERO,MERO
Patron,Patron
SFB,SFB
ERAY067,ERAY067
GNG,GNG
Canbay & Wolker,Canbay & Wolker
Hadise,Hadise
Joker,Joker
DJ. Sivo,DJ. Sivo
Misha,Misha
Diablo 63,Diablo 63
Ceg,Ceg
Era7capone,Era7capone
NASTEISHA,NASTEISHA
Mansur,Mansur
Lvbel C5,Lvbel C5
Emel,Emel
Şehinşah,Şehinşah
Gekko G,Gekko G
Arem Ozguc,Arem Ozguc
Sezen Aksu,Sezen Aksu
Ebru Gündeş,Ebru Gündeş
Boykot,Boykot
Ati242,Ati242
Killa Hakan,Killa Hakan
Berk Erdemanar,Berk Erdemanar
Karaçalı,Karaçalı
Selim Muran,Selim Muran
Myndless Grimes,Myndless Grimes
Tankurt Manas,Tankurt Manas
FerzanBeats,FerzanBeats
Lil Zey,Lil Zey
Kamufle,Kamufle
Massaka,Massaka
Harim,Harim
Ceza,Ceza
KERO,KERO
Simge,Simge
BLOK3,BLOK3
SNOW,SNOW
13 Killoki,13 Killoki
Rota,Rota
Serhat Özen,Serhat Özen
Muti,Muti
Contra,Contra
BEGE,BEGE
Cash Flow,Cash Flow
Heijan,Heijan
Allame,Allame
DJ Artz,DJ Artz
Reckol,Reckol
Sefo,Sefo
Aspova,Aspova
Anıl Piyancı,Anıl Piyancı
Reynmen,Reynmen
Melike Şahin,Melike Şahin
Burry Soprano,Burry Soprano
Yung Ouzo,Yung Ouzo
Tekmill,Tekmill
Ayaz Kaplı,Ayaz Kaplı
Cem Adrian,Cem Adrian
Murda,Murda
GRiNGO,GRiNGO
Hidra,Hidra
Jeff Redd,Jeff Redd
Organize,Organize
Sertan,Sertan
Norm Ender,Norm Ender
ZEZE,ZEZE
Sansar Salvo,Sansar Salvo
Joe Young,Joe Young
Semicenk,Semicenk
Wegh,Wegh
Poizi,Poizi
Wolker,Wolker
Atlas,Atlas
Yener Çevik,Yener Çevik
Ezhel,Ezhel
Summer Cem,Summer Cem
Faruk Sabanci,Faruk Sabanci
Zeynep Bastık,Zeynep Bastık
Eypio,Eypio
AKDO,AKDO
Vio,Vio
Zizzy,Zizzy
Chiko,Chiko
Avie,Avie
Narco,Narco
Doğukan Sarıtaş,Doğukan Sarıtaş
Grogi,Grogi
Aleyna Kalaycıoğlu,Aleyna Kalaycıoğlu
UZI,UZI
Azer Bülbül,Azer Bülbül
Hayko Cepkin,Hayko Cepkin
Mog,Mog
Selo,Selo
Rockywhereyoubeen,Rockywhereyoubeen
Sirdav,Sirdav
Bedo,Bedo
Gaye Su Akyol,Gaye Su Akyol
Cashflow,Cashflow
Eko Fresh,Eko Fresh
Tepki,Tepki
cakal,cakal
Sufle,Sufle
Gazapizm,Gazapizm
Kuty,Kuty
Motive,Motive
Cakal,Cakal
Sagopa Kajmer,Sagopa Kajmer
SLOWFLOWS',SLOWFLOWS'
Serdar Ortaç,Serdar Ortaç
RUBY,RUBY
Aksan,Aksan
Arman Aydin,Arman Aydin
Ben Fero,Ben Fero
Canbay,Canbay
aspi,aspi
Demet Akalın,Demet Akalın
Monstar361,Monstar361
Ege Balkiz,Ege Balkiz
Emrah Turken,Emrah Turken
Emir Can İğrek,Emir Can İğrek
Şanışer,Şanışer
Sürveyan,Sürveyan
Artz,Artz
Perdenin Ardındakiler,Perdenin Ardındakiler
Kamuran Akkor,Kamuran Akkor
Saian SS,Saian SS
Hayki,Hayki
